X,Y,Z
-6.267, -21.670, -10.479
-6.267, -21.640, -10.479
-6.267, -21.610, -10.479
-6.263, -21.580, -10.479
-6.253, -21.559, -10.479
-6.246, -21.546, -10.479
-6.239, -21.534, -10.479
-6.209, -21.455, -10.479
-6.195, -21.380, -10.479
-6.145, -21.080, -10.479
-6.107, -20.780, -10.479
-6.079, -20.480, -10.479
-6.063, -20.180, -10.479
-6.058, -19.880, -10.479
-6.063, -19.580, -10.479
-6.079, -19.280, -10.479
-6.107, -18.980, -10.479
-6.145, -18.680, -10.479
-6.195, -18.380, -10.479
-6.209, -18.306, -10.479
-6.239, -18.227, -10.479
-6.253, -18.202, -10.479
-6.267, -18.151, -10.479
-6.267, -18.121, -10.479
-6.267, -18.091, -10.479
-6.288, -21.670, -10.479
-6.288, -21.640, -10.479
-6.288, -21.610, -10.479
-6.284, -21.580, -10.479
-6.274, -21.559, -10.479
-6.267, -21.546, -10.479
-6.260, -21.534, -10.479
-6.230, -21.455, -10.479
-6.216, -21.380, -10.479
-6.166, -21.080, -10.479
-6.128, -20.780, -10.479
-6.100, -20.480, -10.479
-6.084, -20.180, -10.479
-6.079, -19.880, -10.479
-6.084, -19.580, -10.479
-6.100, -19.280, -10.479
-6.128, -18.980, -10.479
-6.166, -18.680, -10.479
-6.216, -18.380, -10.479
-6.230, -18.306, -10.479
-6.260, -18.227, -10.479
-6.274, -18.202, -10.479
-6.288, -18.151, -10.479
-6.288, -18.121, -10.479
-6.288, -18.091, -10.479
-6.309, -21.670, -10.479
-6.309, -21.640, -10.479
-6.309, -21.610, -10.479
-6.305, -21.580, -10.479
-6.295, -21.559, -10.479
-6.288, -21.546, -10.479
-6.281, -21.534, -10.479
-6.251, -21.455, -10.479
-6.237, -21.380, -10.479
-6.187, -21.080, -10.479
-6.149, -20.780, -10.479
-6.121, -20.480, -10.479
-6.105, -20.180, -10.479
-6.100, -19.880, -10.479
-6.105, -19.580, -10.479
-6.121, -19.280, -10.479
-6.149, -18.980, -10.479
-6.187, -18.680, -10.479
-6.237, -18.380, -10.479
-6.251, -18.306, -10.479
-6.281, -18.227, -10.479
-6.295, -18.202, -10.479
-6.309, -18.151, -10.479
-6.309, -18.121, -10.479
-6.309, -18.091, -10.479
-6.330, -21.670, -10.479
-6.330, -21.640, -10.479
-6.330, -21.610, -10.479
-6.326, -21.580, -10.479
-6.316, -21.559, -10.479
-6.309, -21.546, -10.479
-6.302, -21.534, -10.479
-6.272, -21.455, -10.479
-6.258, -21.380, -10.479
-6.208, -21.080, -10.479
-6.170, -20.780, -10.479
-6.142, -20.480, -10.479
-6.126, -20.180, -10.479
-6.121, -19.880, -10.479
-6.126, -19.580, -10.479
-6.142, -19.280, -10.479
-6.170, -18.980, -10.479
-6.208, -18.680, -10.479
-6.258, -18.380, -10.479
-6.272, -18.306, -10.479
-6.302, -18.227, -10.479
-6.316, -18.202, -10.479
-6.330, -18.151, -10.479
-6.330, -18.121, -10.479
-6.330, -18.091, -10.479
-6.351, -21.670, -10.479
-6.351, -21.640, -10.479
-6.351, -21.610, -10.479
-6.347, -21.580, -10.479
-6.337, -21.559, -10.479
-6.330, -21.546, -10.479
-6.323, -21.534, -10.479
-6.293, -21.455, -10.479
-6.279, -21.380, -10.479
-6.229, -21.080, -10.479
-6.191, -20.780, -10.479
-6.163, -20.480, -10.479
-6.147, -20.180, -10.479
-6.142, -19.880, -10.479
-6.147, -19.580, -10.479
-6.163, -19.280, -10.479
-6.191, -18.980, -10.479
-6.229, -18.680, -10.479
-6.279, -18.380, -10.479
-6.293, -18.306, -10.479
-6.323, -18.227, -10.479
-6.337, -18.202, -10.479
-6.351, -18.151, -10.479
-6.351, -18.121, -10.479
-6.351, -18.091, -10.479
-6.267, -21.670, -10.459
-6.267, -21.640, -10.459
-6.267, -21.610, -10.459
-6.263, -21.580, -10.459
-6.253, -21.559, -10.459
-6.246, -21.546, -10.459
-6.239, -21.534, -10.459
-6.209, -21.455, -10.459
-6.195, -21.380, -10.459
-6.145, -21.080, -10.459
-6.107, -20.780, -10.459
-6.079, -20.480, -10.459
-6.063, -20.180, -10.459
-6.058, -19.880, -10.459
-6.063, -19.580, -10.459
-6.079, -19.280, -10.459
-6.107, -18.980, -10.459
-6.145, -18.680, -10.459
-6.195, -18.380, -10.459
-6.209, -18.306, -10.459
-6.239, -18.227, -10.459
-6.253, -18.202, -10.459
-6.267, -18.151, -10.459
-6.267, -18.121, -10.459
-6.267, -18.091, -10.459
-6.288, -21.670, -10.459
-6.288, -21.640, -10.459
-6.288, -21.610, -10.459
-6.284, -21.580, -10.459
-6.274, -21.559, -10.459
-6.267, -21.546, -10.459
-6.260, -21.534, -10.459
-6.230, -21.455, -10.459
-6.216, -21.380, -10.459
-6.166, -21.080, -10.459
-6.128, -20.780, -10.459
-6.100, -20.480, -10.459
-6.084, -20.180, -10.459
-6.079, -19.880, -10.459
-6.084, -19.580, -10.459
